,filename,url,start_time,number_of_frames,width,height,label_proc,label_raw,label_notes,partition,signer
0,aslized/elsie_stecker_0001,https://www.youtube.com/watch?v=4YIYRu2PERg,0:00:17.740000,19,640,360,dc,dc,dc?,train,0
1,aslized/elsie_stecker_0002,https://www.youtube.com/watch?v=4YIYRu2PERg,0:00:29.250000,13,640,360,ed,ed,,train,0
2,aslized/elsie_stecker_0003,https://www.youtube.com/watch?v=4YIYRu2PERg,0:00:55.080000,42,640,360,aslized,aslized,,train,0
3,aslized/elsie_stecker_0004,https://www.youtube.com/watch?v=4YIYRu2PERg,0:00:57.440000,66,640,360,asl literature,asl!literature,,train,0
4,aslized/elsie_stecker_0005,https://www.youtube.com/watch?v=4YIYRu2PERg,0:01:10.275000,32,640,360,alized,alized,,train,0
5,aslized/elsie_stecker_0006,https://www.youtube.com/watch?v=4YIYRu2PERg,0:01:21.315000,15,640,360,asl,asl,,train,0
6,aslized/elsie_stecker_0007,https://www.youtube.com/watch?v=4YIYRu2PERg,0:01:40.370000,15,640,360,asl,asl,,train,0
7,aslized/elsie_stecker_0008,https://www.youtube.com/watch?v=4YIYRu2PERg,0:02:00.055000,21,640,360,ed,ed,,train,0
8,aslized/elsie_stecker_0009,https://www.youtube.com/watch?v=4YIYRu2PERg,0:02:19.550000,23,640,360,asl,asl,aslo?,train,0
9,aslized/elsie_stecker_0010,https://www.youtube.com/watch?v=4YIYRu2PERg,0:02:24.230000,28,640,360,video,video,,train,0
10,aslized/elsie_stecker_0011,https://www.youtube.com/watch?v=4YIYRu2PERg,0:02:45.150000,36,640,360,aslized,aslized,,train,0
11,aslized/elsie_stecker_0012,https://www.youtube.com/watch?v=4YIYRu2PERg,0:02:50.790000,37,640,360,aslized,aslized,,train,0
12,aslized/elsie_stecker_0013,https://www.youtube.com/watch?v=4YIYRu2PERg,0:03:08.870000,40,640,360,aslized,aslized,,train,0
13,aslized/elsie_stecker_0014,https://www.youtube.com/watch?v=4YIYRu2PERg,0:03:13.630000,14,640,360,ed,ed,,train,0
14,aslized/elsie_stecker_0015,https://www.youtube.com/watch?v=4YIYRu2PERg,0:03:20.575000,82,640,360,aslized garden,aslized!garden,,train,0
